user_id,nb_visits,nb_purchase,amount_purchase,nb_products_seen,nb__distinct_products,nb_distinct_category0,nb_distinct_category1,nb_distinct_category2,nb_distinct_product_purchased,nb_distinct_category_purchased,nb_visits_last_month,nb_purchase_last_month,amount_purchase_last_month,nb_products_seen_last_month,nb__distinct_products_last_month,nb_distinct_category0_last_month,nb_distinct_category1_last_month,nb_distinct_category2_last_month,nb_distinct_product_purchased_last_month,nb_distinct_category_purchased_last_month,nb_associated_months,nb_days_last_activity,nb_days_last_purchase,nb_active_months,nb_active_purchase_months,nb_purchase_total,amount_purchase_total,no_activity_evaluation_period,amount_purchase_evaluation_period,no_purchase_evaluation_period
69007,2,1,25.0,2,2,1,2,2,1,1,2,1,25.0,2,2,1,2,2,1,1,0,12,14,1,1,1,25.0,1,0,1
53511,1,1,28.0,1,1,1,1,1,1,1,1,1,28.0,1,1,1,1,1,1,1,0,14,14,1,1,1,28.0,1,0,1
62892,5,0,0.0,5,5,3,5,5,0,0,5,0,0.0,5,5,3,5,5,0,0,0,14,99999,1,0,0,0.0,1,0,1
139802,1,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,14,99999,1,0,0,0.0,1,0,1
36345,2,2,37.0,2,2,1,2,2,2,1,2,2,37.0,2,2,1,2,2,2,1,0,9,9,1,1,2,37.0,1,0,1
8737,20,0,0.0,11,11,4,11,11,0,0,20,0,0.0,11,11,4,11,11,0,0,0,1,99999,1,0,0,0.0,0,0,1
9066,2,0,0.0,1,1,1,1,1,0,0,2,0,0.0,1,1,1,1,1,0,0,0,1,99999,1,0,0,0.0,1,0,1
38161,2,0,0.0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,10,99999,1,0,0,0.0,0,0,1
82745,3,0,0.0,3,3,3,3,3,0,0,3,0,0.0,3,3,3,3,3,0,0,0,13,99999,1,0,0,0.0,0,0,1
59937,11,2,40.0,6,6,3,6,6,2,2,0,0,0.0,0,0,0,0,0,0,0,2,51,75,3,1,2,40.0,0,0,1
55959,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,106,99999,1,0,0,0.0,1,0,1
3824,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,106,99999,1,0,0,0.0,1,0,1
64665,1,1,5.0,1,1,1,1,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,106,106,1,1,1,5.0,1,0,1
112015,2,1,9.0,1,1,1,1,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,105,106,1,1,1,9.0,1,0,1
19865,26,0,0.0,12,11,6,10,10,0,0,6,0,0.0,2,2,2,2,2,0,0,3,17,99999,3,0,0,0.0,0,0,1
3062,9,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,101,99999,1,0,0,0.0,1,0,1
115301,7,0,0.0,7,7,2,4,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,99,99999,1,0,0,0.0,1,0,1
69654,3,0,0.0,2,2,2,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,2,58,99999,2,0,0,0.0,1,0,1
63758,2,0,0.0,2,2,2,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
71198,3,3,38.0,3,3,2,3,3,3,2,2,2,8.0,2,2,1,2,2,2,1,3,2,2,2,2,3,38.0,0,1,0
149029,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
2922,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
27283,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
62812,6,0,0.0,3,3,3,3,3,0,0,0,0,0.0,0,0,0,0,0,0,0,1,85,99999,2,0,0,0.0,0,0,1
7568,57,1,22.0,37,37,8,19,19,1,1,0,0,0.0,0,0,0,0,0,0,0,2,54,86,3,1,1,22.0,1,0,1
135313,28,0,0.0,22,22,9,19,19,0,0,0,0,0.0,0,0,0,0,0,0,0,2,35,99999,3,0,0,0.0,1,0,1
22172,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
43768,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
35152,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
55611,58,0,0.0,39,39,9,21,21,0,0,33,0,0.0,20,20,8,14,14,0,0,3,2,99999,4,0,0,0.0,0,0,1
103163,3,0,0.0,2,2,2,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,1,80,99999,2,0,0,0.0,1,0,1
77576,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
20405,4,0,0.0,2,2,2,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,1,73,99999,2,0,0,0.0,1,0,1
80713,3,2,37.0,3,3,1,3,3,2,1,0,0,0.0,0,0,0,0,0,0,0,1,92,92,2,1,2,37.0,0,0,1
40405,4,0,0.0,3,3,1,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,1,84,99999,2,0,0,0.0,0,1,0
87704,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,0,0,1
39878,34,2,36.0,26,25,7,18,18,2,2,0,0,0.0,0,0,0,0,0,0,0,1,76,85,2,2,2,36.0,1,0,1
16195,3,1,15.0,2,1,1,1,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,104,105,1,1,1,15.0,1,0,1
20406,4,0,0.0,4,4,3,4,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,101,99999,1,0,0,0.0,0,1,0
143236,2,2,49.0,2,2,2,2,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,105,105,1,1,2,49.0,1,0,1
78029,2,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
68596,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,14,99999,1,0,0,0.0,1,0,1
5946,6,0,0.0,4,4,4,4,4,0,0,6,0,0.0,4,4,4,4,4,0,0,0,3,99999,1,0,0,0.0,1,0,1
86076,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,14,99999,1,0,0,0.0,1,0,1
31316,3,3,95.0,3,3,3,3,3,3,3,3,3,95.0,3,3,3,3,3,3,3,0,10,10,1,1,3,95.0,1,0,1
147930,6,0,0.0,4,4,3,4,4,0,0,6,0,0.0,4,4,3,4,4,0,0,0,11,99999,1,0,0,0.0,0,0,1
76507,1,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,13,99999,1,0,0,0.0,1,0,1
131574,1,1,7.0,1,1,1,1,1,1,1,1,1,7.0,1,1,1,1,1,1,1,0,13,13,1,1,1,7.0,1,0,1
138270,5,1,39.0,4,3,1,2,2,1,1,5,1,39.0,4,3,1,2,2,1,1,0,7,13,1,1,1,39.0,1,0,1
58302,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,13,99999,1,0,0,0.0,1,0,1
7749,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,13,99999,1,0,0,0.0,0,0,1
111059,5,1,15.0,5,5,4,4,4,1,1,5,1,15.0,5,5,4,4,4,1,1,0,9,13,1,1,1,15.0,1,0,1
115293,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,13,99999,1,0,0,0.0,0,0,1
60203,3,1,7.0,2,2,1,2,2,1,1,3,1,7.0,2,2,1,2,2,1,1,0,13,13,1,1,1,7.0,1,0,1
118902,2,0,0.0,2,2,1,2,2,0,0,2,0,0.0,2,2,1,2,2,0,0,0,13,99999,1,0,0,0.0,1,0,1
110224,2,0,0.0,2,2,1,1,1,0,0,2,0,0.0,2,2,1,1,1,0,0,0,12,99999,1,0,0,0.0,1,0,1
89562,1,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,13,99999,1,0,0,0.0,1,0,1
114356,109,1,22.0,107,106,11,38,38,1,1,109,1,22.0,107,106,11,38,38,1,1,0,12,13,1,1,1,22.0,1,0,1
17225,4,0,0.0,2,2,2,2,2,0,0,4,0,0.0,2,2,2,2,2,0,0,0,5,99999,1,0,0,0.0,0,0,1
41184,2,1,33.0,2,2,2,2,2,1,1,2,1,33.0,2,2,2,2,2,1,1,0,13,13,1,1,1,33.0,1,0,1
42119,1,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,13,99999,1,0,0,0.0,1,0,1
91575,1,1,11.0,1,1,1,1,1,1,1,1,1,11.0,1,1,1,1,1,1,1,0,13,13,1,1,1,11.0,1,0,1
